,Feature Type,Feature Name,District,Distance from Dam (km),Alert Zone,Alert Colour,Zone Description,Piping — Inundated?,Piping — Area Flooded (%),Piping — Max Depth (m),Piping — Arrival (hrs),Piping — Evac Window,Piping — PAR,Overtopping — Inundated?,Overtopping — Area Flooded (%),Overtopping — Max Depth (m),Overtopping — Arrival (hrs),Overtopping — Evac Window,Overtopping — PAR,Population,Nearest Shelter,Shelter Distance (km),Hazard Class (Piping),Hazard Class (Overtop),Flood Status (Piping),Flood Status (Overtop),Remarks,Piping — Inundated km,Piping — Inundated %,Piping — Flood Status,Overtopping — Inundated km,Overtopping — Inundated %,Overtopping — Flood Status,Total Road Length (km)
1,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
2,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
3,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
4,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
5,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
6,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
7,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
8,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
9,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
10,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
