Category,Facility Name,Name (Marathi),Amenity,Operator,Phone,Address,Dist.Dam(km),Pip Flooded?,Pip Depth(m),Pip Arrival(h),Pip Evac,Pip Evac Window,Ovt Flooded?,Ovt Depth(m),Ovt Arrival(h),Ovt Evac,Ovt Evac Window
Temple / Place of Worship,Tuljabhavani mandir,—,place_of_worship,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Sai Mangal Hospital,—,hospital,—,—,"Borgaonkar Complex, Naldurg Road, Above District Co-operative Central Bank, Tuljapur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Peshwe Hospital,—,hospital,—,—,Near Water Tank Shukrawar Peth Tuljapur,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Malba Hospital,—,hospital,—,—,"Osmanabad Road, Kaman Cese, Tulajpur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Yadav Nursing and Maternity Home - Tuljapur,—,hospital,—,—,"Mathurai Nagar,Near St Bus Stand",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Primary Health Centre (PHC),PHC Gaudgaon,—,—,—,—,Gaudgaon,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
