osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
11653196154,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
11653196155,Water Well,Water Well,,,,,,,False,False,16.159,,,,P5,8+ hours,,,,P5,8+ hours
13403842107,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842139,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842170,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842171,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842172,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842173,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842174,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842175,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842176,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842177,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842178,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842179,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842180,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842181,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842182,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842183,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842184,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842185,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842186,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842187,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842188,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842189,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842190,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842191,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842244,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842245,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842246,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842247,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13403842248,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
