,Village,Distance from Dam (km),Population,Pip — Inund %,Pip — Max Depth (m),Pip — Arrival (hrs),Pip — PAR,Pip — Flood Status,Ovt — Inund %,Ovt — Max Depth (m),Ovt — Arrival (hrs),Ovt — PAR,Ovt — Flood Status,Worst Scenario,Depth Difference (Ovt−Pip) m,Arrival Diff (Pip−Ovt) hrs,Additional PAR (Ovt−Pip)
1,Ambegaon,0.0,686,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
2,Ambabaiwadi,0.31,1315,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
3,Jotibachiwadi,0.54,2276,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
4,Hattij,2.75,1751,17.0%,3.934,3.47,298,VILLAGE PARTIALLY FLOODED,42.1%,6.095,1.17,737,VILLAGE MODERATELY FLOODED,OVERTOPPING,2.161,2.3,439
5,Malegaon,2.85,2529,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
6,Hattij,2.99,1751,7.0%,4.721,3.54,123,VILLAGE PARTIALLY FLOODED,18.9%,6.753,1.18,331,VILLAGE PARTIALLY FLOODED,OVERTOPPING,2.032,2.37,208
7,Ratajan,3.37,2529,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
8,Ladole,3.44,1254,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
9,Hingani(ratanjan),5.59,981,4.8%,1.301,4.16,47,VILLAGE MARGINALLY AFFECTED,16.2%,3.316,1.4,159,VILLAGE PARTIALLY FLOODED,OVERTOPPING,2.015,2.76,112
10,Khuttewadi,7.05,635,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
11,Dhamgaon(Dumala),8.63,506,1.4%,1.762,5.16,7,VILLAGE MARGINALLY AFFECTED,3.6%,3.615,1.9,18,VILLAGE MARGINALLY AFFECTED,OVERTOPPING,1.853,3.25,11
12,Sarjapur,10.21,1135,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
13,Raleras,11.99,2316,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
14,Raleras,12.04,2316,8.7%,1.906,5.96,201,VILLAGE PARTIALLY FLOODED,32.0%,4.073,2.31,742,VILLAGE MODERATELY FLOODED,OVERTOPPING,2.167,3.65,541
15,virag,13.42,19970,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
16,Sasure,14.06,3427,5.3%,2.998,6.49,183,VILLAGE PARTIALLY FLOODED,18.7%,4.99,2.6,641,VILLAGE PARTIALLY FLOODED,OVERTOPPING,1.992,3.89,458
17,Vairag,14.2,19970,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
18,Dahithane,17.52,1765,12.3%,4.924,7.65,217,VILLAGE PARTIALLY FLOODED,31.8%,6.771,3.3,562,VILLAGE MODERATELY FLOODED,OVERTOPPING,1.847,4.35,345
19,Mungshi,20.64,1291,11.5%,5.711,8.53,149,VILLAGE PARTIALLY FLOODED,30.9%,7.881,3.77,399,VILLAGE MODERATELY FLOODED,OVERTOPPING,2.17,4.76,250
20,Bhagaiwadi,22.56,0,0.0%,,—,0,NOT AFFECTED,0.0%,,—,0,NOT AFFECTED,OVERTOPPING,,,0
21,Waluj,24.32,1426,0.0%,,—,0,NOT AFFECTED,0.6%,0.481,4.24,9,VILLAGE MARGINALLY AFFECTED,OVERTOPPING,,,9
22,Waluj,24.72,0,1.0%,2.314,9.41,0,VILLAGE MARGINALLY AFFECTED,17.5%,4.807,4.23,0,VILLAGE PARTIALLY FLOODED,OVERTOPPING,2.493,5.18,0
