Road Category,Segments,Total_km,Pip_Inund_km,Ovt_Inund_km,Pip_%,Ovt_%
Village Road,275,548.7641,7.6533,11.3506,1.4,2.1
Other Road,9,514.9695,0.5005,1.337,0.1,0.3
Internal Road,1454,361.9252,7.5280000000000005,12.9409,2.1,3.6
Kutcha Track,384,273.6651,13.6099,20.6359,5.0,7.5
Major Road,74,133.1641,1.2748,4.4649,1.0,3.4
State Highway,61,130.6358,0.0,0.0,0.0,0.0
District Road,40,102.0386,0.6001,1.277,0.6,1.3
Service Road,320,56.3951,1.3894,2.5877,2.5,4.6
Highway Link,16,6.0629,0.0,0.0,0.0,0.0
Footpath,9,0.9726,0.0,0.0,0.0,0.0
Road Link,11,0.1338,0.0,0.0,0.0,0.0
