Road Name,Category,Total(km),Pip Inund(km),Pip Inund(%),Pip Status,Ovt Inund(km),Ovt Inund(%),Ovt Status,Dist.Dam(km)
Village Road — Jotibachiwadi,Village Road,0.8776,0.164,18.7,ROAD MARGINALLY AFFECTED,0.166,18.9,ROAD MARGINALLY AFFECTED,0.0
Kutcha Track — Jotibachiwadi,Kutcha Track,0.2544,0.0,0.0,NOT FLOODED,0.1396,54.9,ROAD PARTIALLY FLOODED,0.0
Internal Road,Internal Road,0.9518,0.0,0.0,NOT FLOODED,0.1124,11.8,ROAD MARGINALLY AFFECTED,0.0
Kutcha Track — Ambegaon,Kutcha Track,0.3338,0.0,0.0,NOT FLOODED,0.1562,46.8,ROAD PARTIALLY FLOODED,0.0
Kutcha Track — Ambegaon,Kutcha Track,1.061,0.0,0.0,NOT FLOODED,0.1211,11.4,ROAD MARGINALLY AFFECTED,0.0
Service Road — Jotibachiwadi,Service Road,0.3008,0.0,0.0,NOT FLOODED,0.0277,9.2,ROAD MARGINALLY AFFECTED,0.0
Kutcha Track,Kutcha Track,0.4426,0.0,0.0,NOT FLOODED,0.0796,18.0,ROAD MARGINALLY AFFECTED,0.0
Kutcha Track,Kutcha Track,0.5114,0.0,0.0,NOT FLOODED,0.083,16.2,ROAD MARGINALLY AFFECTED,0.0
Village Road — Jotibachiwadi,Village Road,0.0497,0.0497,100.0,ROAD COMPLETELY FLOODED,0.0497,100.0,ROAD COMPLETELY FLOODED,0.081
Village Road — Jotibachiwadi,Village Road,1.4623,0.1081,7.4,ROAD MARGINALLY AFFECTED,0.23,15.7,ROAD MARGINALLY AFFECTED,0.112
Internal Road — Ambabaiwadi,Internal Road,2.4142,0.0,0.0,NOT FLOODED,0.2979,12.3,ROAD MARGINALLY AFFECTED,0.287
Village Road — Ambegaon,Village Road,7.7537,0.792,10.2,ROAD MARGINALLY AFFECTED,1.5769,20.3,ROAD MARGINALLY AFFECTED,0.337
Internal Road — Jotibachiwadi,Internal Road,0.9468,0.9468,100.0,ROAD COMPLETELY FLOODED,0.9468,100.0,ROAD COMPLETELY FLOODED,0.532
Village Road — Jotibachiwadi,Village Road,0.3668,0.2209,60.2,ROAD PARTIALLY FLOODED,0.2514,68.5,ROAD PARTIALLY FLOODED,0.924
