Icon,Facility Type,Facility Name,Distance (km),Alert Zone,Pip Flooded,Ovt Flooded,Pip Depth (m),Ovt Depth (m),Pip Arrival (h),Ovt Arrival (h),Remarks
🏥,Hospital,Sai Mangal Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Peshwe Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Malba Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Yadav Nursing and Maternity Home - Tuljapur,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Primary Health Centre (PHC),PHC Gaudgaon,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Kadam Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Kshirasagar Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Kutwal Multi Speciality Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
⚡,Electricity Substation,Toljapur,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏫,School,School,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,Hospital,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🏥,Hospital,RHC,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
⚡,Electricity Substation,Electricity Substation,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambabaiwadi — Ambabaiwadi — Ambabaiwadi,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambabaiwadi — Ambabaiwadi — Ambabaiwadi,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,0.0,Zone I,NO,NO,,,—,—,Safe — Monitor
